duration,date,subject.code,exclude,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
174,3/11/22 12:57,R_1n6lTPfLI4zGla2,1,,,,,,,,,5,,,"it's immoral to vandalize someone's property.  Also, good luck claiming that million on your taxes",house is painted,hank picks steve's address out,wasn't
274,3/11/22 12:59,R_3oyXDmjK9I5WKzf,0,5,,,The other person didnt consent to having their house painted.,,carol got her house painted pink by accident. Hank was offered money to paint steves house blue.,hank was offered money to paint steves house blue,he wasnt,,,,,,,
335,3/11/22 12:59,R_bBhSvCZ3cFRjMU9,0,,,,,,,,,1,20000,,It's enough to have his home repainted and inconvenience.,Hank was proposed to paint a stranger's house while Carol's home was painted by mistake.,Hank and Steve are strangers.,Depending on the stranger we are referring to.
355,3/11/22 12:59,R_3FVyWKCBqQwCjG4,0,1,10000,,"He should give Steve more than enough to cover repainting his house, and some extra for his trouble.",,Hank reads a story about her accidently having her house painted.,Hank has the option of having Steve's house painted in exchange for one million dollars.,He wasn't.,,,,,,,
170,3/11/22 13:00,R_2t56ONWXi0XGxwf,1,6,,,"He accidently picked 1 house that wasn't correct in paining pink,  He may as well do a 2nd and earn money for it",,Hank paints her house pink,Hank paints his house blue,he showed up at the door to speak with hank,,,,,,,
375,3/11/22 13:00,R_a48LsyEVppqZpId,1,,,,,,,,,6,,,Id say keep the money for yourself. I find that to be moral ,"nothing happened between them , But carols house got pained blue by mistake because Hank wrote down the wrong address","Nothing happened between the two. But Hank selected an address at random out of the phone book to paint that house pink, and Steve was the owner of the house picked.",The stranger was not involved with carol's house being painted.
246,3/11/22 13:00,R_10NUvGWn6MT0CJE,1,,,,,,,,,5,,,"Morally speaking, it is difficult for me to say that it is appropriate to violate someone's property (without permission) just for some money. ",Nothing happens between these two.,Hank is offered to opportunity to have Steve's house painted pink in order to receive one million dollars.,The stranger is not involved in Carol's house being painted blue.
463,3/11/22 13:01,R_27UMpWEl6xtlftL,0,5,,,It's not his house to paint.,,Nothing directly,Hank had the choice of painting Steve's house for a million dollars.,There was no involvement between Carols house and the stranger.,,,,,,,
264,3/11/22 13:01,R_2ruUUApTTCIrSa7,0,,,,,,,,,5,,,"You shouldn't be deciding for someone elses property if they should paint it Pink. If anything you should ask them first, not after you accept the money and plan on doing it anyway.","Nothing, as they both have different parts to the story but never interact.","Hank has the option to paint Steves house pink for money, but nothing happens between them if Hank refuses the money","The stranger was not involved with Carol's house being painted, as the stranger coincidentally showed up to talk to Hank."
445,3/11/22 13:01,R_2zCTjHWkDgZDB4G,0,1,200000,,"If Hanks paints Steve's home without permission, allocating a portion of the money to him would be a fair consolation.",,Hank read a story in the paper about Caro's home being accidentally painted without her permission.,Hank is offered 1 million dollars to paint Steve's home.,The stranger wasn't involved in her house being painted pink.,,,,,,,
225,3/11/22 13:02,R_2v62NmJH3r38s73,1,,,,,,,,,4,,,yes,ywa,no,yes
432,3/11/22 13:03,R_1LNH9xDFqA7cHsP,0,3,200000,200000,Most people could pay off a car or a part of their mortgage with 200K. If someone painted my house I'd be livid. But if they turned around and gave me 100K I wouldn't give a hoot. I'd repaint it and be financially relieved and happy for the money. ,,Nothing they are 2 separate stories.,Hank is offered 1 million dollars to paint Steve's (a strangers) house.,He was not.,,,,,,,
267,3/11/22 13:04,R_2aDlFHikkaZurwg,1,3,100000,100000,Both amounts are much more than the cost of repainting the house and would be generous.,,Hank accidentally paints Carol's house pink.,Hank randomly chooses Steve's address to potentially paint blue.,He wasn't.  It was purely coincidental.,,,,,,,
454,3/11/22 13:10,R_1dKAcLMWOCpcgIc,0,,,,,,,,,1,200000,,This will help steve paint his house the color he wants after its pink and hopefully pay off his house too.,hank reads a story about a paint company that paints carols house blue by mistake,hank has the option to paid steves house pink for $1 million ,he was not involved
829,3/11/22 13:16,R_2f7ewq3ujWKAu8j,0,5,,,It sounds like a scam. ,,Nothing happens between them.,Hank was offered to paint his house for money.,It is not clear if the stranger was involved.,,,,,,,
390,3/11/22 13:18,R_2t0c0RdGZPzBN0E,0,5,,,The offer seems strange. ,,Nothing other than reading the story about Carol getting her house painted pink accidently. ,Hank opens the phone book and randomly pick's Steve at random. ,The stranger was not involved in that incident. ,,,,,,,
255,3/11/22 13:19,R_1Ojh3AAyWhO0iQ9,0,,,,,,,,,5,,,This is a strange offer by someone he doesn't know and has no reason to trust. It's better not to get involved.,Nothing. Hank is reading a story in which something happens to Carol.,Hank is offered an opportunity to paint Steve's house pink.,The stranger was not involved. It was painted blue by the painting company.
312,3/11/22 13:20,R_2OPwcM5uQGzT5AP,0,6,,,The $1 million and paint Steve’s house blue or he can turn the stranger away,,Hank reads a story in the newspaper about a funny mistake,A woman named Anne wanted to have her house painted pink while she was on vacation,Hank can either take the $1 million and paint Steve’s house blue or he can turn the stranger away,,,,,,,
899,3/11/22 13:21,R_RIWZ27GBLJEEihH,0,1,500000,,Because the house belongs to Steve and Hank is going to paint it blue even though Steve didn't ask for it. Hank should compensate by giving half of his award away,,Hank read a newspaper story about Carol having her house painted pink away on vacation,Hank is offered a prize if he paints a random address in the phone book home blue which happened to be steve,Not involved.,,,,,,,
495,3/11/22 13:25,R_2uKUJyeezDAMuUj,0,,,,,,,,,1,200000,,"I think after Hank explains to Steve that he could earn 200,000 dollars by letting him paint his house pink Steve would agree to the terms. Anyone with the right mindset knowing they would get money to let someone paint their house a goofy color, can just paint it back or something else.",Hank was reading the news paper about Carol house being painted blue. Hank never had any contact with Carol besides what he read in the paper.,"Nothing Hank was too busy to contact Steve, and nothing ever happen between them because the story did not give an outcome.",The stranger and Carol had no involvement between each other. Carols house being painted blue was due to Anne giving the wrong address to the painters.
187,3/11/22 13:28,R_AsP2NZVZetNSHoR,0,,,,,,,,,1,300000,,"I honestly think this is a really high number - but Hank should at least pay Steve enough to repaint his house + for the inconvenience. He could probably pay him less, even. But this is definitely enough to get away with it without feeling guilty","Nothing, Hank simply read a story about Carol in the news",Hank is offered a million dollars to paint a stranger's house pink - the stranger that ends up being chosen at random is Steve,The stranger is not involved at all in Carol's house being painted
